,sentence,label
131,and that's a Friday,assertive
132,or Tuesday morning the 8th,assertive
133,they don't have any discounts without a Saturday night stay,assertive
134,so the fares are the same,assertive
135,that seems about the right time,assertive
136,Friday the 2nd,assertive
137,Find a python developer.,imperative
138,what what's the last name of the passenger,interrogative
139,last Thursday of June,assertive
140,and the 17:30 from St Pancreas to Derby,assertive
141,21 days in advance,assertive
142,there's one,assertive
143,they might have a six,assertive
144,that's the only uh flight i think,assertive
145,it's not something  that i could,assertive
146,we've gone through,assertive
147,i think they give really good service,assertive
148,or through Pittsburg at 6:20,assertive
149,tell her I need her right now.,imperative
150,let me just see what sort of fare i can get you on this,assertive
151,he's got um,assertive
152,which is             View,assertive
153,and the date that we know we're booking is on what day,interrogative
154,"I need you to sit down, now.",imperative
155,can he go  to Hong Kong,interrogative
156,i don't think there's anything after that,assertive
157,if you have open return,assertive
158,it applies to any type of fare,assertive
159,connection through Los Angeles,assertive
160,i suppose that's that's,assertive
161,for the 19 pounds Virgin Value fare,assertive
162,travelling from Preston at what time,interrogative
163,not return on a Friday,assertive
164,it would be 20 dollars more if he wanted to have a fare without a penalty,assertive
165,i'm just checking that for you,imperative
166,if you could give me the same details about that flight number and uh,assertive
167,and that's again the same of of applications of four stop overs uh for minimum maximum of 15,assertive
168,and it gets into London at 19:13,assertive
169,we could try building our own connection  but,assertive
170,if we have to stay later,assertive
171,and is there one about fiveish on the Wednesday or not,interrogative
172,that gives me half a day there Wednesday,assertive
173,and it's just for one,interrogative
174,4:15 or 4:30,assertive
175,if you have to change any of the times of travel,assertive
176,so that's  great,assertive
177,Roll the dice.,imperative
178,98 round trip on a non-refundable non-changeable ticket,assertive
179,is that going to be a suitable time for you,interrogative
180,one'll have to pay a normal fare,assertive
181,fare on this is 398 dollars,assertive
182,the service out of San Francisco is 8:45,assertive
183,and that's Saturday the 3rd of October,interrogative
184,have fun tonight,imperative
185,cos that's who i'm going to go and stay with,imperative
186,what time would you like make a date,interrogative
187,and i'm just waiting for a confirmation number on the car,assertive
188,ju... i i'm going to make this reservation for some another individual,imperative
189,that is the same price,assertive
190,Reach for the sky!,imperative
191,or i could put them in uh two aisles with a middle seat between them in the central section of the p... of the flight,assertive
192,then it's from Birmingham New Street 13:18,assertive
193,Clear this room by tomorrow morning.,imperative
194,it is 59 pounds  for up to 4  2 to 4 people return,assertive
195,i'm just checking availability on the return on Sunday,assertive
196,so it would increase that total fare by 20 dollars,assertive
197,his car is uh confirmed for intermediate car  in San Diego,assertive
198,Load your weapon!,imperative
199,it's just so long as you have the letter of authorisation giving you permission to use the company credit card on like off... official headed paper,assertive
200,w... round trip,interrogative
201,what what,interrogative
202,can i can i take your name and ring you back,interrogative
203,maybe that's what he's trying to say,assertive
204,with an advance purchase ticket,assertive
205,the cheapest fare that's going to be available travelling tomorrow is what we call a walk-on fare,assertive
206,Find documents from June 1st on.,imperative
207,the 9th,assertive
208,about  10:30 11,assertive
209,coach business and first,assertive
210,i'm going to check availability once we've established train times,imperative
211,i was wondering if you could handle some some reservations for me,interrogative
212,arriving  11:50 in Euston,assertive
213,i'll get back to that one,imperative
214,your contact telephone number please,assertive
215,you want me to book that one for you,interrogative
216,you'll be travelling in coach   as in,assertive
217,your last name is,interrogative
218,from Durham to Leeds,interrogative
219,what flights do you want to have him on,interrogative
220,5 O  on Saturday the 17th to Macclesfield,assertive
221,how many hours,interrogative
222,and your two tickets will be posted out first class to you this afternoon,assertive
223,is that a suitable time,interrogative
224,"Create a new account, when / if you are hacked.",imperative
225,i wanted to get on the 3:20 if possible,imperative
226,and do you hold a current credit or debit card,interrogative
227,and then departing Newark at 8:25 a m,assertive
228,and that's Monday the 5th yeah,interrogative
229,and let me get him his seat assignments,assertive
230,which might extend the journey by 40 minutes,assertive
231,"Unloose the cord, and they will wrap you round.",imperative
232,i think i'll go ahead and commit him to that,imperative
233,staying over a Saturday night,assertive
234,i'm just actually having to double check that time on the return,imperative
235,Do not condemn the judgement of another because it differs from your own.,imperative
236,41 pounds 40  is the total fare,assertive
237,it's B,assertive
238,what  is CP Air,interrogative
239,how do you spell his last name,interrogative
240,Slice the apple.,imperative
241,and then connecting to SAS flight 9 3 0 2,interrogative
242,so you prefer to leave that open,interrogative
243,is there a one is there a train before the 20:13,interrogative
244,on the return on the 18th,assertive
245,we've got him on United flight 3 4 6 on the 2nd of August,assertive
246,that's arriving in Birmingham New Street for 15:42,assertive
247,does anyone who's travelling have a railcard,interrogative
248,that would get him in to Tampa at 4:35 p m,assertive
249,as long as he's got a slot on that flight,assertive
250,the connection's offered,assertive
251,it's 9 9,assertive
252,i think he's going to,assertive
253,Let the cookies brown before taking them out.,imperative
254,is it yourself that holds the credit or debit card,interrogative
255,18:40 right  not  leaving at,interrogative
256,that'd be Tuesday,assertive
257,Wake up in the morning.,imperative
258,so it would have to be 6:50,assertive
259,Complete the exercies.,imperative
260,i was quoted 6 0 8 50 for the whole round f... from Boston to Washington,assertive
261,that would get him there like a quarter to 7,assertive
262,let them eat cake!,imperative
263,unfortunately no,assertive
264,i could put them both on an aisle seat,assertive
265,arriving Southbend at 5:24,assertive
266,it's a corporate,assertive
267,83 pounds will be debited from that card,assertive
268,it i... it is John Wayne in Irvine  isn't it,interrogative
269,it depends on on when the flights are,assertive
270,for the Virgin Value fare at 14 pounds return,assertive
271,can we hold off the seat assignments for about a half an hour,interrogative
272,and i guess,assertive
273,Speak freely and spread the word.,imperative
274,i'm going to book you a forward facing seat again,imperative
275,that was somebody else,assertive
276,that's the 1:30 to 9:39 non-stop,assertive
277,last name is E as in the month E,assertive
278,it's probably,assertive
279,i'm sure we'll find that for you,imperative
280,39 pounds 50,assertive
281,and it flies out of San Francisco,interrogative
282,and you must book that by 6 o'clock the day before travel,assertive
283,and what was the next word,interrogative
284,choose the German Sheperd over the huskey.,imperative
285,but middle seats are usually the last last seats to be assigned,assertive
286,and this is the reference number the ticket has been booked under,assertive
287,do you want to book the tickets just now,interrogative
288,charge number is,assertive
289,what time do you like to depart from  Birmingham New Street,interrogative
290,i just need to turn up to the advance ticket  desk,interrogative
291,if you can  just bear with me please,assertive
292,Reboot the phone,imperative
293,what's the first name on F H F  and J G,interrogative
294,it's like an a reduced rate ticket then to your Walk-on fare,assertive
295,bye  bye then,assertive
296,so if he needs to know that or,assertive
297,3rd of Oc...,assertive
298,and that's with your senior railcard discount,assertive
299,we can't void it,assertive
300,from SFO,assertive
301,it's 0 1 5 0 5,assertive
302,and again late afternoon,interrogative
303,you must go out on the 7:55 in the morning,assertive
304,Meet back here after shopping.,imperative
305,we won't know if it's,assertive
306,the 13th of June,interrogative
307,that was available,assertive
308,he's going th... the most direct route to Or... to Lake Tahoe,assertive
309,the airfare is 264 round trip,assertive
310,is he there just now,interrogative
311,he's going to come out ahead with the um the non-conference rate,assertive
312,what type of credit card,interrogative
313,and it was into LAX on Continental,assertive
314,is there one earlier than the 6:34 or is that the first one out of Wigan in the morning,interrogative
315,8th and 9th,assertive
316,arriving at 19:48,assertive
317,an intermediate,assertive
318,i was just wondering what time i uh you know what's the uh the latest i could leave,interrogative
319,i'm going to have to arrange for you to collect your ticket tomorrow from Manchester Picadilly,assertive
320,and confirm that address for me please,assertive
321,i can confirm you on the 6 o'clock flight,assertive
322,and into uh San Francisco at 8:57,assertive
323,i'm trying to see if that's the one,imperative
324,and that's going to depart at 5:55 and arrive Charlotte 6:38,assertive
325,Be sure to clean your weapon.,imperative
326,Bridge Cottage,assertive
327,the cheapest fare is 41 pounds 40 return,assertive
328,one will be coming back uh direct,assertive
329,your postcode to where your credit card is registered to,interrogative
330,on the 8th again,assertive
331,stick to the date and  time that you book,assertive
332,there used to be a 7:25,assertive
333,"Do, take a seat",imperative
334,you said at the moment you've got a a 4:38 United out of Vancouver 5:25 into Seattle,interrogative
335,and what was after that,interrogative
336,that would get you in at 8:11,assertive
337,leaving Liverpool at 12,assertive
338,your title,interrogative
339,but they fare it business class all the way,assertive
340,and what is that flight number,interrogative
341,and this is your reference number to quote tomorrow at Euston station,assertive
342,which whichever one,assertive
343,or just that one portion or have him revalidate,assertive
344,flight 4 4 9,assertive
345,he's going from San Francisco to Tampa's um Saint Pete's,assertive
346,Go up to the board.,imperative
347,and i can't guarantee how fast they'll come back with a fare,assertive
348,give me the times for the non-stop,assertive
349,and if he does get that,assertive
350,whose record am i in right now,interrogative
351,the cheap cheap cheap fare  return,assertive
352,i'm interested in purchasing a ticket,assertive
353,that's on the 9th of October,assertive
354,who's the other traveller going to be,interrogative
355,out of Newark,assertive
356,does it have a specific time that i get on,interrogative
357,Wear your gold necklace with that dress.,imperative
358,60 percent of that would be,interrogative
359,Skip this song,imperative
360,there's a 100 dollar fine,assertive
361,is that in the morning,interrogative
362,arriving Newark at 4:43  p m,interrogative
363,how do i get my tickets now,interrogative
364,Eat them with milk,imperative
365,you arrive in London Euston at 15 hundred,assertive
366,Fetch the hardest stick you can find.,imperative
367,and arrives San Francisco at 12:45 a m,assertive
368,was it a morning or afternoon departure,interrogative
369,and i have his United um mileage plus number,assertive
370,so if every Super Advance Return is booked up by the time you call back,assertive
371,it's B C down to Richmond on Thursday afternoon,assertive
372,and i'll tell you what,imperative
373,and um their last names are EE,assertive
374,i could tell him a ra... p... pretty much a range between 3 25 to 4 18 depending on the discount,assertive
375,if if for for their reasons,assertive
376,but you've got to book your return,assertive
377,i could put them in one seat in front of the other,assertive
378,arriving at 11:15,assertive
379,do you want me to book that,interrogative
380,how many people's travelling tomorrow,interrogative
381,the 4th  now,assertive
382,be nice!,imperative
383,and about what time did you want to leave,interrogative
384,so i i'm probably not going to be able to,imperative
385,when is it they're returning,interrogative
386,and arrival time at San Francisco's at 6:37,assertive
387,so its  the same for business or coach,assertive
388,we have you on US Air flight 1 1 6,assertive
389,but i don't know the precise time,assertive
390,and returning,assertive
391,returning the same day at 18:25 from Euston,assertive
392,but i don't think it goes to Syracuse,assertive
393,let me pull up the flight number,assertive
394,will leave SFO at,imperative
395,and at what time,interrogative
396,that's the Virgin Value fare,assertive
397,the 8:20 flight,assertive
398,what  we could try and do is see if you could get you Singles to see if it's going to work out to the same price,assertive
399,let me check seating on this,assertive
400,and i'll look at  a couple of things on this and um give you a call back either today or tomorrow morning as far as faring goes,imperative
401,what airline is this,interrogative
402,and  as in,assertive
403,why don't you book both E F and B C,interrogative
404,arriving in Euston at 18:13,interrogative
405,and the ticket will be in my middle name right,interrogative
406,i'm checking in on the 31st of July late,assertive
407,he's one of our machinists,assertive
408,the round trip would be that times 2 plus 13 for taxes,assertive
409,Drive away without saying goodbye.,imperative
410,there is another option that we wouldn't  be aware of,interrogative
411,you can travel on any train after 6:20,assertive
412,there's no changing on it,assertive
413,there's,assertive
414,i've been giving you quick numbers here,assertive
415,that's  double,assertive
416,on the tw...,assertive
417,there's no,assertive
418,can i go earlier on the Saturday,interrogative
419,is is there any particular  reason why it's Wigan rather than Stafford or Preston or all the other ones on the line,interrogative
420,and the ticket will be,assertive
421,you just said Saturday the 4th,interrogative
422,flying out on the 28th,interrogative
423,back to back to San Francisco,assertive
424,give me the postcode first of all,assertive
425,let me just look  in their system,assertive
426,from what these travellers are telling me,assertive
427,if the timing works for that,assertive
428,this ticket was issued,assertive
429,the fare's 19 pounds 80,assertive
430,so the fare's going to be 30 pounds 70,imperative
431,Saturday the 3rd of October,assertive
432,it might i might be going on a later train,assertive
433,what what have you got,interrogative
434,out of San Jose at 6:40 p m and into Burbank at 7:42 p m,assertive
435,that's Delta flight 38 17,assertive
436,how much is that,interrogative
437,connecting to American flight 3 9 9,assertive
438,and it would be completely non-refundable,assertive
439,the cheapest fare that i can offer you at that time is the Virgin Value Business at 75 pounds,assertive
440,she'll call you,assertive
441,it was the probably a twosome if it was two people,assertive
442,leaving Cleveland at 4:10 p m,assertive
443,arrival Seattle at 12:15,assertive
444,always arrive the following day,assertive
445,i i i could leave late Friday after work,assertive
446,you were saying that it leaves on Friday,assertive
447,Come on!,imperative
448,and CCC DDD   would like a smoking aisle,assertive
449,returning the 11th of October 18:45 from Rugby,assertive
450,going from San Jose to Burbank,assertive
451,let me give you the flight information,assertive
452,would they be returning on the same flight,interrogative
453,Don't beat him.,imperative
454,from Euston to Macclesfield,assertive
455,the time on Friday that i'd like to depart would be evening,imperative
456,it arrives back into San Jose at 6:42,assertive
457,would bring that portion down to 29 dollars one way,assertive
458,or  what about any other time,interrogative
459,i know where 's at,assertive
460,and  that's subject to availability,assertive
461,but now i'm going to talk about CD's,imperative
462,Check if the laundry is dry,imperative
463,we need to actually fill out the form twice because it's classed as two separate journeys  with it being 1 with a railcard,assertive
464,the second reservation is for D E,assertive
465,that's  no problem at all,assertive
466,the cheapest fare that's going to be available is the Super Advance Return 27 pounds,assertive
467,that's lovely,assertive
468,i don't know if it's going to be  like diverted before you get into the train station or  the station before that having to go around,assertive
469,60 pounds will be debited from that account,assertive
470,just stops at lots of  stations,assertive
471,Pack enough food for our adventure!,imperative
472,"Improve yourself, or kiss yourself goodbye.",imperative
473,arriving at 20:26,assertive
474,if you need to change any of the times of travel,assertive
475,you you mentioned that there was the American flight,imperative
476,"Roar, roar, roar, Henderson-Sungo. Do not be afraid. Let go of yourself. Snarl greatly. Feel the lion.",imperative
477,but it's in case there was any queue,assertive
478,and it's for which trip,interrogative
479,there has to be other options doesn't  there,imperative
480,leaving Cleveland,interrogative
481,he  called up,assertive
482,it's a non-penalty fare of course,assertive
483,the last train in the evening is the 20:35,assertive
484,what,interrogative
485,the next flight after that is at 5:07,assertive
486,then it's a train from Wilmslow at 16:46,assertive
487,we have you confirmed on United flight 1 1 0 3,assertive
488,say leaving around uh 5 p m or so,assertive
489,i'll have to check with my husband,imperative
490,you would receive a full refund less 5 pounds,assertive
491,same day on the 11th of May,assertive
492,it's CP Air flight 1 4 0,assertive
493,you can always make the switch then,assertive
494,Tue... for Thursday,interrogative
495,Play the song alive by ima robot,imperative
496,and the postcode to where the credit card is registered to,interrogative
497,he may of said it because of some preference,assertive
498,is it San Francisco at 7:05   or San Jose,interrogative
499,if they leave,assertive
500,it's number 12,assertive
501,leaving at 8:42 and arriving el... 10:11,assertive
502,i'll just chance it then,imperative
503,we'll keep that the same,interrogative
504,the departure time is 9 o'clock on Friday,interrogative
505,and that was for checking in on the 7th,imperative
506,and which day would Mr B like to travel,interrogative
507,and does he have a specific um an approximate date i should put in here,interrogative
508,and connecting there to Delta flight 6 1 8,assertive
509,is it an aisle,interrogative
510,the dates times and seat numbers are printed on the ticket for you,assertive
511,Do your worst to me.,imperative
512,as long as you cancel by 6 o'clock day before travel,assertive
513,168 New  Street,assertive
514,and what we'll do is reissue um for the brand new fare,imperative
515,first name DDD,assertive
516,that will also include your zone 7 on underground and your complimentary car parking voucher as well,assertive
517,but do you know this area,interrogative
518,thank you very much,assertive
519,run for your life.,imperative
520,looks like it's a popular flight,assertive
521,and it would have gone up to 1 18,assertive
522,that goes through Denver,imperative
523,and arrives Chicago at 3:58,assertive
524,subject to availability  and 5 pounds charge,assertive
525,and it's um,assertive
526,i'll have this one then,imperative
527,leaving on the eighth from San Francisco 12 0  1  a m,assertive
528,because if you won't,assertive
529,and what time around,interrogative
530,it's Mr,assertive
531,it's a 50 percent refund less 5 pounds admin charge,assertive
532,hold on,assertive
533,cos there aren't that many seats on that,assertive
534,is he going business class on the SAS flight,interrogative
535,like about 3 pm on a  Monday,interrogative
536,should we do that,interrogative
537,just check that,assertive
538,an American Airlines flight 1 4 4 0,assertive
539,i i... have to be in LA a couple of different places actually on the 19th and 20th,assertive
540,i think it's Wynn Mail House,assertive
541,June 16th,assertive
542,i guess 98's ok then,assertive
543,and to return at any time,assertive
544,that's interesting,assertive
545,i feel like flipping a coin now,assertive
546,and it's a full refund less 5 pounds if you have to cancel your journey,assertive
547,and  how many people's travelling,interrogative
548,a quarter to 7 is a little close,assertive
549,arriving Chicago at 5:56 a m on the 25th,assertive
550,"Be a late riser. Lazy men are always looking for an easier way, be lazy.",imperative
551,if you miss that service,assertive
552,and how much did the super...,interrogative
553,you're not able to get the Super Advance,assertive
554,there is no BBB here,assertive
555,"Get up, stand up, Don't give up the fight.",imperative
556,you want backward travel,interrogative
557,so that's the regular price from Manchester innit,interrogative
558,i can ask for um flights through Helsinki,assertive
559,must you have the ticket,interrogative
560,and how's it going to be paid for,interrogative
561,they only have one flight a day,assertive
562,"Bake me a cake, now.",imperative
563,it's the 4 of the 1st,assertive
564,the the Hertford to Taunton,assertive
565,if you have to change any of the times of travel,imperative
566,so you'd be kind of going backwards,assertive
567,Don't think about the future.,imperative
568,on Friday the30th of October,assertive
569,it's Barclays Connect Visa card,assertive
570,feel free to text me later.,imperative
571,that would be 4 88 each direction,assertive
572,and then send me a copy,assertive
573,it is totally non-refundable,assertive
574,68 dollars non-refundable non-changeable,assertive
575,5 15 each direction,assertive
576,it's the 2nd 98,assertive
577,it's just for the day,assertive
578,you're changing at Crewe,assertive
579,Remind me in 10 days to email Austin.,imperative
580,and on the return,assertive
581,and gets there at 1:05,assertive
582,plus uh we pay for the going rate,assertive
583,arriving in Macclesfield at 16:03,assertive
584,for  travelling out on Sunday,assertive
585,it's from Watford yes,interrogative
586,Keep Calm and Carry On,imperative
587,and arriving into San Francisco at 5:13 p m,assertive
588,Complete the photo shoot.,imperative
589,first of all,assertive
590,but that's the only way that you'd be leaving at night,assertive
591,all  it's saying is the 1 1 2 4 will expire today,assertive
592,the 1 1 1 7 i'm showing sold out,assertive
593,there's an 8 p m departure on Air Canada,assertive
594,preheat the oven to 325,imperative
595,first name F,assertive
596,that sounds good to me,assertive
597,they are at 1:40 p m and 8 p m,assertive
598,that certaily a big difference in price  isn't it,interrogative
599,you're going to get your own way between  Southbend and Chicago,interrogative
600,it's 0 7 9 7,assertive
601,your surname please,assertive
602,arrives 1:30 p m on Monday,assertive
603,you're connecting there with US Air flight 5 9 3,assertive
604,you  haven't got a you haven't got a rear facing,interrogative
605,is that on the same day,interrogative
606,the Wednesday please,assertive
607,and uh i have appointments on Tuesday um in the City Commerce and in the Santa Ana areas,assertive
608,the person i'm booking for does,assertive
609,tha... tha... that sounds good,assertive
610,it's a different town,assertive
611,and getting into Richmond at 5:16,assertive
612,and the credit card number,interrogative
613,it's still the same fare,assertive
614,i want to go to New York Monday morning,imperative
615,that's booked for you,assertive
616,it looks like there are two American Airlines flights out of San Jose,assertive
617,i'm showing economy on Pan Am is open,assertive
618,so if you left on a Saturday,assertive
619,whatever we request pretty much we get,assertive
620,is that ok for the credit card,interrogative
621,or it's 6:50 the next one after that,assertive
622,what is it now,interrogative
623,and is it for one way  or round trip or per  segment,interrogative
624,departing at 9 o'clock p m,assertive
625,normally the conference rates do offer some discount like that,assertive
626,that can be as low as um 358 and also 318,assertive
627,or it's 21:00 in the evening,assertive
628,and the tickets will be posted out in the first class post tomorrow morning to  you,assertive
629,the next later flight's American at 5:20,assertive
630,Eat something.,imperative
631,they said bring some sort of government number,assertive
632,ok then,assertive
633,so that sounds like a route that i would that i would be interested in,assertive
634,for for the non-refundable,assertive
635,i'll just keep the rent a car that i'll have for personal reasons uh for that weekend,imperative
636,i'm requesting 8 C on the outbound flight,assertive
637,arriving in Macclesfield at 14:03,assertive
638,sometimes international takes a little bit longer for them to compute,assertive
639,which is classed as a Walk-on fare,assertive
640,the um Airport Connection has a 13 dollar,assertive
641,Write your name on the exam.,imperative
642,it would show it to me,assertive
643,Beam us up.,imperative
644,the next train departs at 15:26,assertive
645,i'd made made some arrangements on Monday that have to be changed,assertive
646,and American goes through Chicago,interrogative
647,and 40 pounds exactly's been debited from your debit card,assertive
648,that's the,assertive
649,and then he wants to connect with another Piedmont flight from Baltimore to New York,assertive
650,what mean then what,interrogative
651,then it would  to try and get you on the next available service,assertive
652,that'll be fine,assertive
653,is there anything a little,interrogative
654,and  this is your reference number to quote at the train station,assertive
655,leaving 4:15 pm from Burbank,assertive
656,it's either 6 o'clock or 9 o'clock,assertive
657,they're going to be two other people in a different uh org that are going to be taking the same flight,assertive
658,there's a train at 13:15 from Birmingham New Street,assertive
659,it's a full refund less 5 pounds,assertive
660,Have a piece of cake.,imperative
661,Don't let the lights get turned on.,imperative
662,is that after 10,interrogative
663,the lowest one way fare out of San Jose is pricing out at 165 dollars,assertive
664,let me check to see if um we still have that old record,assertive
665,since i'm leaving on Sunday,assertive
666,would that just on a one way fare,interrogative
667,Plant enough trees for the summer,imperative
668,bye  now,assertive
669,we do not have to issue it uh within twenty four hours,interrogative
670,the 19 pounds Virgin Value fare is now fully booked up for tomorrow,assertive
671,that's the next availability that's coming up,assertive
672,from Newton Abbot,interrogative
673,the train departs at  12:22   on  Saturday,assertive
674,i'm writing this down,imperative
675,right,assertive
676,i show that schedule for American flight 1 4 4 0 on the 5th of December of 1 9 9 9 operating just San San Jose to San Diego,assertive
677,but you need a letter of authorisation,assertive
678,it leaves at 9:40 out of Boston,assertive
679,and that's that's the the lowest,assertive
680,arrival in Atlanta is at 7:35 p_m,assertive
681,you'll need to quote this reference number,assertive
682,I'd be grateful if you didn't tell anyone about this.,imperative
683,you just need to go to the travel centre,assertive
684,every...,assertive
685,so  you'll have to not,assertive
686,i leave on the 9th 10:31 from Wigan arrive to Edinburgh a...,imperative
687,i made that,assertive
688,i had an... one other question,assertive
689,there is a Piedmont flight which is non-stop from Newark to Richmond leaving at 4:05 in the afternoon on a Thursday,assertive
690,the earlier trains are all booked up now,assertive
691,if you just bear with me,assertive
692,that's  and hour and a half,assertive
693,tomorrow you need your credit card with you when you collect the tickets,assertive
694,it's just getting out of work on time but,assertive
695,Stop the track,imperative
696,it'll either have to either be the 13:20 departing Preston or the 16:31,assertive
697,when you said confirm it i thought it'd come up on your screen there,assertive
698,and the total cost is 14 pounds return,assertive
699,which one,interrogative
700,returning on the 4th at 1:05 p m,assertive
701,nothing in non-smoking except for middles,assertive
702,it looks like the first one is a 7:40 on American uh Eagle,assertive
703,on Saturday 3rd of October from Birmingham New Street to London Euston,assertive
704,it'll be one or the other of these,assertive
705,so i'm just going to check availability to see what's your cheapest fare i can offer you,imperative
706,Southwest 6 7 8,assertive
707,if i book it for a certain time going down,assertive
708,i'd like to arrive in er London at hal... around half past seven if possible,imperative
709,i can only do one th... one profile at a time,assertive
710,that's still going to arrive on Monday,assertive
711,and and to book a seat,interrogative
712,is it the same price to go on to Wrexham Central,interrogative
713,3 2 3 and 7 5 1,assertive
714,A at American Express,assertive
715,i'd like this to be processed before 6 if i could,assertive
716,it,assertive
717,and what type of credit card,interrogative
718,and so i need to know some time periods,assertive
719,Cut out the cookies with a cookie cutter,imperative
720,it's United flight twent... uh 1 2 6 out of San Francisco at 10 a m,assertive
721,Birmingham to Euston,assertive
722,and you are staying over a Saturday night,assertive
723,that's on the 12th of May,assertive
