,sentence,label
94,it's Wednesday the 28th of October,assertive
95,you're travelling from Durham  at 6 thir... 53 in the morning,assertive
96,arriving at 10:11,assertive
97,returning the same day at 19:09 in the evening,assertive
99,and  would you like smoking or non-smoking,interrogative
100,non-smoking please,assertive
101,the dates times and seat numbers will be printed on the tickets for you,assertive
102,and  if you have to cancel,assertive
103,you must cancel by 6 o'clock the day before travel,assertive
104,it's 50 percent refund less five pounds,assertive
105,if you have to change any of the times of travel,assertive
106,you must do so by  6 o'clock the day before travel again,assertive
107,and it's 50,assertive
108,5 pounds charge,assertive
109,subject to availability,assertive
110,and you said it's your credit card you're paying by,interrogative
111,how do i get my tickets now,interrogative
112,we'll post the tickets out to the credit card holder's address,imperative
113,but do they,interrogative
114,they come through the post,interrogative
115,oh,exclamatory
116,that's wonderful,assertive
117,that's  lovely,assertive
118,your surname please,assertive
119,it's,assertive
120,start with,interrogative
121,that's what i meant,assertive
122,your initial,interrogative
124,and your title,interrogative
125,Mrs,assertive
126,and your contact telephone number is,interrogative
127,0 1 8 double 6,assertive
128,6 0 6,assertive
129,8 0 8,assertive
130,your postcode,interrogative
131,8 8 8,assertive
132,and confirm the address for me please,assertive
133,it's 33  Street,assertive
134,Willington,assertive
135,Brough,assertive
136,County Durham,assertive
137,that's where the tickets will be posted out to you,assertive
138,that's lovely,assertive
139,the total price is 48 pounds,assertive
140,what type of credit card is that you hold,interrogative
141,Barclay card,assertive
142,and the Barclay card number is,interrogative
143,8 6 0 6,assertive
145,9 8 0,assertive
147,3 0 8,assertive
149,0 8 0,assertive
151,and the expiry date,interrogative
152,it's the 2nd 98,assertive
153,it's the 5th 2,assertive
154,i was looking at the wrong  number,assertive
155,can you repeat your number again please,interrogative
162,0 8 9,assertive
164,and it's 05,interrogative
165,what's your expiry date,interrogative
166,it's 05,assertive
167,stroke double 0,assertive
168,0,assertive
169,do you have a pen handy,interrogative
170,this is your reference number to which your 4 tickets are being booked under,assertive
171,it's 6 8 0,assertive
172,6 8 0,assertive
173,for   for,assertive
174,0 0   for,assertive
175,and the tickets will be posted out in first class post to you this afternoon,assertive
176,ok,interrogative
177,but when the seats come,imperative
178,the 4 of us will be sat together won't we,interrogative
179,what i've actually managed to do is book you a table seat,assertive
180,so the 4 of yous are all sitting together,assertive
183,ok now,interrogative
185,thank you very much,assertive
186,thank you for calling,assertive
188,bye,assertive
191,American Express,assertive
192,this is A,assertive
193,this is B again,assertive
194,and i talked to C  D  again  about going from Hong Kong to Moscow,assertive
195,he made me feel like there had to be some other options besides going through Heathrow,assertive
196,there  had to be several different cities you can go through like Beijing to Helsinki,assertive
197,there has to be some other options,assertive
198,on,assertive
199,what i do is i ask for connections er flights from Hong Kong to Moscow,assertive
200,and that's what it's giving me as available connections,assertive
201,it's  giving me all the legal connections available,assertive
202,and that's what i'm getting is through Heathrow,assertive
203,i...  if somebody was in some other city and wanted to go to Moscow,assertive
204,there has to be other options doesn't  there,imperative
206,i see what you mean,assertive
207,departing from a different city rather than  Hong Kong,interrogative
209,sa... i... t... Helsinki,assertive
210,and also there has to be some other airlines too uh that are flying into Moscow besides,assertive
211,you only gave me  British Airways,assertive
212,because of the connections,assertive
213,from Hong Kong to Moscow,assertive
214,there are other,assertive
215,what i,assertive
216,this is  the entire day,assertive
217,you you,assertive
218,what you did was you gave me  you gave me the best  situation,imperative
219,and for the entire day for i picked on th... on the 24th of June um th... the entire day,assertive
220,we've got the first thing that that comes up is that 9:30 pm flight  otherwise,assertive
221,are we  saying that maybe uh that something was filled,interrogative
222,there is another option that we wouldn't  be aware of,interrogative
224,if it was sold out,assertive
225,it would show it to me,assertive
226,that's what i was wondering,assertive
227,the only other option i have would be a Cathay Pacific flight,assertive
228,departing at Hong Kong at 10:55 p m,assertive
229,it arrives into London to Gatwick airport at 4 at 5:50 5:40,assertive
230,a m,assertive
231,and then he'd connect to a British Air flight out of London Heathrow airport,assertive
232,and into th... Moscow,assertive
233,he'd be going into Gatwick and leaving out of Heathrow,assertive
234,meaning he'd  have to get between the two,assertive
235,i know,assertive
236,i i indicated i said the only  thing that was given to me was a flight that goes into He... you know was flights going into Heathrow,assertive
237,he says,assertive
238,try Beijing,assertive
239,there has to be some other options to getting into Moscow,assertive
240,i i don't know,assertive
241,and al... also he said there has to be other airlines,assertive
242,and i he mentioned a couple,assertive
243,i i remembered a couple,assertive
244,Aer... is it Aeroflight,interrogative
245,and Singapore,assertive
246,do... does Singapore has a airline,interrogative
247,this is what when i ask for for Hong Kong,assertive
248,thi... that's what i'm trying to explain,imperative
249,we could try building our own connection  but,assertive
250,when i ask Hong Kong Soviet Union,assertive
251,that's what it's giving me,assertive
252,perhaps we can build our own like you say,assertive
253,that's maybe that's what he's talking about,assertive
254,or depart from a different city,assertive
255,if he wants to go for like a three point connection,assertive
256,there are three point connections available,assertive
257,he,assertive
258,such as,assertive
259,just wants me to get all the options down for him,assertive
260,so he can make a decision,assertive
261,again asking for Hong Kong to uh   Moscow,assertive
262,there's a  flight,assertive
263,let's let's  go to another city first,assertive
264,maybe that's what he's trying to say,assertive
265,un... unless you can find a three point by going to Moscow,assertive
266,i can,assertive
267,from Hong Kong which is eh,assertive
268,what i'm saying is that uh  the next possibility would be Hong Kong to Bangkok to Heathrow to Moscow,imperative
269,that's the next availability that's coming up,assertive
270,and that would be a flight that leaves at 6 p m from Hong Kong,assertive
271,and goes on to Bangkok,assertive
272,and then he would take another flight to Heathrow,assertive
273,and then another ho... flight from Heathrow to Moscow,assertive
274,i've got that down as an option,assertive
275,otherwise there's um more through Bangkok,assertive
276,there's different carriers Bangkok to Heathrow to Moscow,assertive
277,as to other carriers aside from that,assertive
278,there's one Hong Kong to Tokyo to London to Moscow,assertive
279,everything's going to end up London Moscow,assertive
280,it's just a matter of,assertive
281,let's  try the suggestion about going to Helsinki,assertive
282,you mean departing from Helsinki to uh or Hong Kong  Helsinki,interrogative
283,can he go  to Hong Kong,interrogative
285,you always have to go,assertive
286,you can't go straight through Hong Kong to,assertive
287,to then go through Helsinki then,assertive
288,that would,assertive
289,we'd have to build our own connection,assertive
290,that would be where we'd have to ask for,assertive
291,we would force,assertive
292,that's called forcing a connection,assertive
293,i can ask for um flights through Helsinki,assertive
294,see,assertive
295,it's not going to come out,assertive
296,24,assertive
297,let me call you back,assertive
298,cos that's  it's,assertive
299,doesn't look like its  going,assertive
300,that's  what i need to find out,assertive
308,Sandra,assertive
309,i want to know if there's any cheap tickets still available from Euston to Manchester   er,imperative
310,do you want to book a ticket or are you just enquiring   at the moment,interrogative
311,i i'm i do want to book,imperative
312,but i need to know i... if the cheap ones are still ones are still available for Saturday,assertive
313,do you still... do you hold a credit a debit card,interrogative
314,it's a debit card,assertive
315,and is it Saturday the 3rd,interrogative
316,is it just for 1,interrogative
317,it's for 1,assertive
318,what time do you like to depart from Euston,interrogative
319,sort of like afternoonish,assertive
320,early afternoon,assertive
321,about lunch time,assertive
322,for the 19 pounds Virgin Value fare,assertive
323,the first train that is available is the 15:50 in the afternoon,assertive
324,arriving at 18:33,assertive
325,15:15,interrogative
326,15:50,assertive
328,and that gets in at 18:33,interrogative
329,and that's for 19  pounds,interrogative
330,do you hold a current rail card,interrogative
331,i'm not old,assertive
332,i'm not young enough,assertive
333,i'm too old now,assertive
335,right,assertive
336,can i call back in 2 minutes and book that,interrogative
337,that is subject to availability,assertive
338,and you must book that by 6 o'clock the day before travel,assertive
339,the day before,interrogative
340,i'll call back in 2 minutes,imperative
341,thanks very much,assertive
344,good morning,assertive
347,i wish to travel to London tomorrow morning,imperative
348,from,interrogative
349,from Manchester Picadilly,assertive
350,do you hold a current credit or debit card,interrogative
351,i need to arrange for you to collect your ticket from the train station,assertive
352,and what time do you like to depart tomorrow,interrogative
353,i just want to find out about the cheap train,assertive
354,the cheap cheap cheap fare  return,assertive
355,cheap fare to London,assertive
356,so you don't want to book a ticket just now,interrogative
357,i do i do want to book,assertive
358,but you er  but er but what happen is that 2  2  2 of my sisters are travelling,assertive
359,so i'm just booking it for them,assertive
360,is that ok for the credit card,interrogative
361,the credit card holder must be at the train station to collect and sign for the tickets,assertive
362,how many people's travelling tomorrow,interrogative
363,2,assertive
364,and what time around,interrogative
365,early,assertive
366,i want to get the cheap fare,imperative
367,the 19 pounds Virgin Value fare is now fully booked up for tomorrow,assertive
369,it's fully booked up,imperative
370,the next cheapest fare that i can offer you is the  Super Advance Return at 30 pounds each,assertive
371,30 pound each,assertive
372,does anyone hold a current railcard,interrogative
373,that'll be 30 pounds each,assertive
374,and the first train that i can actually get you booked on is on the 10:30 from Manchester Picadilly,assertive
375,arriving at 13 hundred in London Euston,assertive
376,is that a suitable time,interrogative
377,the time is right,assertive
378,but it's just the fare,assertive
379,that is the cheapest fare travelling tomorrow now,assertive
380,you haven't got anything in  earlier than 9 o'clock you know around,interrogative
381,there is not any Virgin Value fares the entire day,assertive
382,they have now been booked up,assertive
383,i'm just trying to think of which is the best huh,imperative
384,is there ever any other you know what you call them,interrogative
385,the Northern the Northern Line train,assertive
386,they they do some cheap one as well,assertive
387,can you do that  one,interrogative
388,the  the 30 pounds is the cheapest fare travelling tomorrow now,assertive
389,the 30 pounds each  is the cheapest fare for travelling tomorrow,assertive
391,ok,assertive
392,i think i'll i'll call you back again,imperative
393,you'll just,assertive
394,i do  think about it,assertive
395,this ticket must be booked by 2 o'clock today,assertive
396,and it is subject to availability,assertive
397,ok now,imperative
399,thanks for calling,assertive
400,goodbye,assertive
404,this is B C calling from WWW,assertive
406,and why don't you bring up my record,interrogative
407,and it's for which trip,interrogative
408,the trip that i'm supposed to take tomorrow night,imperative
409,i'll pull that one up,imperative
410,here's the problem,assertive
411,i just learned today that i'm going to have to go to Richmond on Friday,imperative
412,i have to be in Richmond on Friday,assertive
413,Richmond Virginia,assertive
414,we keep the San Francisco to Newark tomorrow night,assertive
415,the the number,assertive
416,the August 1st 10:30,assertive
417,the question is how can i get can i get to Ne... Newark to Richmond either Thursday afternoon or Friday morning early,assertive
418,i don't have to be there until about 10 o'clock,assertive
419,there's,assertive
420,depends on what you'd rather do,assertive
421,there is a Piedmont flight which is non-stop from Newark to Richmond leaving at 4:05 in the afternoon on a Thursday,assertive
422,and getting into Richmond at 5:16,assertive
423,or if you wanted to go in the morning of the 4th,assertive
424,the only  the only no-stop would have to be out of La Guardia,assertive
425,there's no,assertive
426,out of Newark,assertive
427,it would be at 9:30,assertive
428,you would not get in until 10:41,assertive
429,there is one at what time on Thursday afternoon,interrogative
430,Thursday at 4:05,assertive
432,how late,interrogative
433,is there any later connections of any sort,interrogative
434,later connections,assertive
435,there's a later non-stop at 9,assertive
436,gets in at,assertive
437,a later non-stop at 9,interrogative
438,gets in at 10:11,assertive
439,what about,interrogative
440,and there are probably connections,interrogative
441,between the time,interrogative
442,let me check,assertive
443,between those times,assertive
444,there's a,assertive
445,there's a United flight that leaves at 6:20,assertive
446,ooh,exclamatory
447,that's going to be sold out um,assertive
448,there's a 7:55 Piedmont that goes through Baltimore as a connecting city and gets into Richmond at 10:29,assertive
449,same time as the other one,interrogative
450,why don't you book both E F and B C,interrogative
451,cos we're flying together on the 4 o'clock Newark,assertive
452,Richmond,interrogative
453,Richmond,assertive
454,and then,interrogative
455,and then,assertive
456,if we have to stay later,assertive
457,we'll juggle it at that end,imperative
458,what about your,interrogative
459,and then we need a hotel to stay in in Richmond,assertive
460,w... what about your return,interrogative
461,how many   nights,interrogative
462,i think he's going to,assertive
463,i better let E do his own,assertive
464,but that's what i think he's going to do,assertive
465,because i think he's going to fly back up to New York and come back on his regularly scheduled return on Saturday,assertive
466,i'm working within uh within your  reservation,assertive
467,within my reservation,interrogative
468,but but,assertive
469,i'll have E call,imperative
470,because he may want to make some adjustments,assertive
471,but,assertive
472,at the moment,assertive
473,it's B C down to Richmond on Thursday afternoon,assertive
474,on the 4 o'clock,assertive
475,a place to stay Thursday night,interrogative
476,let's assume a departure around 1:30 or 2 o'clock,assertive
477,earlier than that,assertive
478,on Friday,assertive
479,to return to either San Jose or San Francisco San Jose is preferable only because i live down in that direction,assertive
480,then everything would be a connecting flight either to San Francisco or to San Jose,assertive
481,the only problem is frequency of flights into San Jose   are limited,assertive
482,the,assertive
483,i do like American,assertive
484,and i know one could presumably maybe go Richmond to Raleigh Durham,assertive
485,or there's a Richmond to Dallas,assertive
486,is are,assertive
487,the connection's offered,assertive
488,or Richmond to Dallas,interrogative
489,there's a flight offered,assertive
490,but it's at 12:23 p m,assertive
491,through Dallas into San Jose at 5:27,assertive
492,the next flight after that is at 5:07,assertive
493,changing planes,assertive
494,it's a United changing planes in Chicago and getting in at 9:30 into San Jose,assertive
495,other than that,assertive
496,the next American's at 5:30,assertive
497,and it's a change of planes in Dallas and into  San Jose a... at 11,assertive
498,that's just American,interrogative
499,that's just um other than United at 5:07 through Chicago,assertive
500,that was United,assertive
501,there is a Piedmont flight at 1:35 through Charlotte North Carolina,assertive
502,it would have to go,assertive
503,you would have to go into San Francisco though in order to take that,assertive
505,but that's about the right time i mean uh,interrogative
506,to the airlines,assertive
507,it's it's whatever is going to get me there,assertive
508,bu... but the time seems to be about right,assertive
509,the 1:30 Piedmont,assertive
510,what is it now,interrogative
511,it's Piedmont,assertive
512,it goes to Charlotte North Carolina as a connection city,assertive
513,and then you go into San Francisco,assertive
514,and arrival time at San Francisco's at 6:37,assertive
515,why don't we do that one,interrogative
516,that seems about the right time,assertive
517,then the round trip fare is 11 62,assertive
518,again no penalties attached to that,assertive
519,that's,assertive
520,and,assertive
521,including whatever i've got going the United flight going  out,interrogative
522,out,assertive
523,that's the total round trip price,assertive
524,and what we'll do is reissue um for the brand new fare,imperative
525,let me give you the flight information,assertive
527,you don't,assertive
528,i don't need that,assertive
529,but what i do need is,assertive
530,i suddenly recall that i'm going to back you up,imperative
531,and i apologize for this too,assertive
532,Wednesday night,assertive
533,there is no lodging,assertive
534,and what i would like to do is to get a room at the Marriot in Newark Airport,imperative
535,thanks a lot for callling,assertive
538,i wanted to uh um get a flight um to Los Angeles and back uh leaving on Friday uh,imperative
539,who am i speaking with,interrogative
540,this is A B,assertive
541,i'm sorry,assertive
542,your last name is,interrogative
543,B,assertive
544,and is this a business trip we're doing,interrogative
545,this is personal,assertive
546,and the date you wanted to go to Los Angeles is,interrogative
547,Friday,assertive
548,July 28th,assertive
549,from San Francisco or San Jose,interrogative
550,whichever's cheaper,assertive
551,and i wanted to return on Monday July 31st,imperative
552,a... a... when,interrogative
553,afternoon er,interrogative
554,evening would be fine,assertive
555,i think i'm going to check the fare,imperative
556,should be the same out of either airport,assertive
557,let me just check here,assertive
558,it's it's going to be the same airfare out out of ei... either airport,assertive
559,it's 98 round trip,assertive
560,it's going to be 98 for round trip,imperative
561,98 round trip on a non-refundable non-changeable ticket,assertive
562,would it have been cheaper if i had called a couple weeks in advance,interrogative
563,21 days in advance,assertive
564,there are lower fares into Los Angeles,assertive
565,and how much is that,interrogative
566,those are 78 round trip,assertive
567,i guess 98's ok then,assertive
568,would the price have gone up if i had called just a couple days in advance,interrogative
569,airfare,assertive
570,you have to have at least a 7 day advance purchase  for the 98,assertive
571,and that's today's the last day to buy it for the 28th,assertive
572,and it would have gone up to 1 18,assertive
573,and then it would have gone up to uh 1 48 one way,assertive
574,they have a 98 one way and then a 148 one way,assertive
575,ouch,exclamatory
576,so it jumps up pretty high,assertive
577,the time on Friday that i'd like to depart would be evening,imperative
578,preferably around 7 o'clock,assertive
579,if you could leave at like 1 in the morning,assertive
580,i could get you a low airfare,assertive
581,they only have one flight a day,assertive
582,oh really,interrogative
583,and i'll tell you what,imperative
584,going out isn't bad,assertive
585,it's coming back that's bad,assertive
586,they have fare of 68 round trip,assertive
587,really,interrogative
588,going out,assertive
589,it's a 9 p m,assertive
590,arriving 10:15 p m,assertive
591,coming back,assertive
592,it's 1:05 in the morning,assertive
593,getting in at 2:20 in the morning,assertive
594,you want to do that,interrogative
595,for 68 dollars,interrogative
596,68 dollars non-refundable non-changeable,assertive
597,today's the deadline for for buying that ticket,assertive
598,you were saying that it leaves on Friday,assertive
599,when,interrogative
602,arriving 10:15,assertive
603,that,assertive
604,and coming back,assertive
605,it's a 1:05 in the morning,assertive
606,1:05 on Tuesday morning,interrogative
607,let me see the table on Tuesday,assertive
608,hold on,assertive
609,for the 1st of August,assertive
610,it is available on Tuesday morning at 1:05 in the morning,assertive
611,getting into San Francisco at 2:30 in the morning,assertive
612,you want to book that,interrogative
613,that sounds just perfect actually,assertive
614,the departure time is 9 o'clock on Friday,interrogative
615,is that is that the only departure time,interrogative
617,that's it,assertive
618,that's all they have,assertive
619,that's why their fare is lower then everyone else's,assertive
620,they only have,assertive
621,they don't have any competition,assertive
622,they have one flight,assertive
623,it's Continental 8 2 4 on the 28th of July,assertive
624,departing San Francisco 9 p m,assertive
625,arriving Los Angeles 10:15 p m,assertive
626,Continental 1 3 3 on the 1st of August Tuesday,assertive
627,departing Los Angeles 1:05 a m,assertive
628,arriving San Franciscso 2:20 a m,assertive
629,2:20,assertive
630,is this going to be put on a credit card,interrogative
631,this ticket is non-refundable non-changeable,assertive
632,and today is the deadline for ticketing,assertive
638,A speaking,assertive
640,this is B C,assertive
641,i want to go to New York Monday morning,imperative
642,i went there last Wednesday,assertive
643,could you just uh d... do the same thing you did for me then,interrogative
644,let me check to see if um we still have that old record,assertive
645,i see you flying on Pa... uh on Pan Am,assertive
646,why don't we do that,interrogative
647,on that special  fare,assertive
648,and same class of service,interrogative
649,same class,assertive
650,leaving Monday morning,assertive
651,coming back Friday night Friday aftern...,assertive
652,i don't have the complete history in front of me,assertive
653,what time did you come back,interrogative
654,was that the 6 o'clock flight,interrogative
655,it's uh 5:45 Pan Am,assertive
656,and this will be at the fare of,assertive
657,it'll be 1060 dollars,assertive
658,and was there anything else,interrogative
659,i guess that's it,assertive
661,you're welcome,assertive
668,from London to Blackpool,assertive
670,i do,assertive
672,7,assertive
673,and does anyone have a railcard,interrogative
674,what date would you like to depart from London,interrogative
675,Friday the 30th of October,assertive
676,departing at what time around,interrogative
677,i want to try to take advantage of any Savers that are available,imperative
678,is that after 10,interrogative
679,i'll just check the times for  you,imperative
681,i'm just checking through the day for you for an advance purchase ticket,assertive
682,the cheapest fare the is available travelling that day now  is going to be the Super Advance Return which is 33 pounds 50 each,assertive
683,the only time that i can get availability on  is if you're travelling from Euston station at 9:35 in the morning,assertive
684,changing at Preston,assertive
685,arriving in Blackpool North for 13:24,assertive
686,and that's all that's available,interrogative
687,there's an afternoon train aval... available at 13:35,assertive
689,you arrive at 16:28 depart at 16:56,assertive
690,then you arrive in Blackpool North at 17:24,assertive
691,that's too late erm  so that literally the only morning train available is 6:35,assertive
692,with an advance purchase ticket,assertive
693,what does that mean then,interrogative
694,what if i book,interrogative
695,the advance purchase ticket is like a Walk-on,assertive
696,it,assertive
697,it's like an a reduced rate ticket then to your Walk-on fare,assertive
699,so there's no Super Savers available or anything on that on there,interrogative
700,this is called a Super Advance Return,assertive
701,the first ticket ticket i checked for was a Virgin Value,assertive
702,that's the cheapest,assertive
703,that's been booked up,assertive
704,then i checked the Apex,assertive
705,and that's been booked up,assertive
706,so the Super Advance is the the  next one that's cheaper,assertive
707,would you mind try... er checking for me then erm to travel on the Thursday  in the evening,interrogative
708,the 29th,interrogative
709,say from 4 o'clock onwards,assertive
710,we're talking about the Super Advance again,interrogative
711,and  that  the  33 pounds 50 each,interrogative
712,the only train that i can get availability on is the 16:34  from Euston,assertive
713,changing at Bla...,assertive
715,and you arrive in Blackpool North for 20:15,assertive
716,and that's the only available one there,interrogative
717,so are there no trains that go directly to Blackpool,interrogative
718,you always have to change,interrogative
719,the direct services are all  booked up,assertive
720,i've checked them first of all,assertive
721,fully booked,assertive
722,i just wondered if you if they went direct erm,interrogative
723,oh dear,exclamatory
724,i don't know what to do,assertive
725,i'll have to check with my husband,imperative
726,i think i'm going to call back later and just take a chance,imperative
727,you,assertive
728,the Super Advance Return,assertive
729,you must book by 2 o'clock the day before travel,assertive
730,and  that's subject to availability,assertive
732,cos what's the other one,interrogative
733,the other one we got before was it a twin a value twin or something,assertive
734,they're all gone as well i suppose,interrogative
735,it was the probably a twosome if it was two people,assertive
736,twosome,assertive
737,the twoso...  the twosome is no longer an available ticket,assertive
739,isn't it,interrogative
740,it's a Virgin groupie,assertive
741,and it has to be 2 or 4 people travelling,assertive
742,so if every Super Advance Return is booked up by the time you call back,assertive
743,then travelling on the Friday,assertive
744,it's going to cost you 52 pounds each,assertive
745,can you just give me a price if there's er 2 of us travelling,interrogative
746,cos i mean i might have to end up booking the other people's tickets as well,assertive
747,if you just bear with me,assertive
748,i'll just check availability,imperative
749,do you want to start on the Friday again,interrogative
750,please,assertive
751,that ticket's fully booked up as well,assertive
752,it is 59 pounds  for up to 4  2 to 4 people return,assertive
753,but there's none available for the dates and times on the 29th or the 30th,assertive
755,ok then,assertive
756,i i'll have to take a chance and call back later and see if i can get the other one,imperative
757,thanks for your help,assertive
760,American Express Travel,assertive
763,i'm planning a trip to Japan at the end of uh the beginning of July,imperative
764,and i have to be there on Monday morning,assertive
765,i was just wondering what time i uh you know what's the uh the latest i could leave,interrogative
766,and i'm speaking with,interrogative
767,B C,assertive
768,you you just need a schedule you said,interrogative
769,i ha...,assertive
770,i ca...,assertive
771,i i can't travel on Saturday,assertive
772,the latest the earli... i could leave Saturday night,assertive
773,probably around midnight or 11 at night,assertive
774,this is to Tokyo,interrogative
775,i believe so,assertive
776,i don't think they're going to have service that late,assertive
777,let me tell you,assertive
778,non-stop service,assertive
779,the latest would be uh 1 p m arriving 3:35 p m,assertive
780,on what day,interrogative
781,on Saturday,assertive
782,i can't,assertive
784,what do you mean 1 p m,interrogative
785,wh... what day would i leave,interrogative
786,we... if you give me the days,assertive
787,i  can tell you the sched...,assertive
789,i have  a Monday morning meeting,assertive
790,you will,assertive
791,i want,imperative
792,always arrive the following day,assertive
793,so if you left on a Saturday,assertive
794,you would arrive o... on a Sunday their time,assertive
795,if i,interrogative
796,when could i,interrogative
798,i... i need to arrive there you know either uh uh their time Monday early you know,assertive
799,in the middle of the night would be acceptable to me anytime,assertive
800,anytime,assertive
801,so i can get to an office by,assertive
802,i i you know i would like to arrive there certainly before 6 a m in the morning on Monday,imperative
803,you'll have to leave on a Saturday,assertive
804,because if you won't,assertive
805,if you leave on a Sunday,assertive
806,you're not gonna arrive there till in the afternoon,assertive
807,like about 3 pm on a  Monday,interrogative
808,is is,assertive
809,i... i...  if i was to leave at,assertive
811,a... and is there anything late on Saturday night,interrogative
812,cos on Saturday,assertive
813,i can't leave until after 10:30 or 11 o'clock at night,assertive
814,the only the only way you're going,assertive
815,i... it's really going to be crazy routing to do it that way,assertive
816,but this is the only way to leave at night,assertive
817,would have to be to fly all the way to the east coast um to fly to JFK,assertive
818,and then fly from JFK to Tokyo,assertive
819,so you'd be kind of going backwards,assertive
820,but that's the only way that you'd be leaving at night,assertive
821,it's either  that  or i have to leave on Wednesday,assertive
822,it's it's either i leave on Wednesday,assertive
823,get in on Thursday,assertive
824,or i leave on Saturday night,assertive
825,let's see which way we can do this,assertive
826,it i... i... i could leave to to uh JFK on Saturday night,assertive
827,let me get the uh schedule,assertive
828,it would be like a 10:30 p m,assertive
829,that's going to get into Newark,assertive
830,on Sunday,assertive
831,it's going to go via Newark,assertive
832,it's 10:30 p m,assertive
833,arriving Newark at 6:35 in the morning on Sunday,assertive
834,and then departing Newark at 8:25 a m,assertive
835,and arriving 1:55 p m,assertive
836,that's still going to arrive on Monday,assertive
837,i think the uh you know,assertive
838,at 1:55,assertive
839,that's no good,assertive
841,from wh... where are there flights leaving on um Sunday morning or late Saturday night,interrogative
842,is there anything from Los Angeles,interrogative
843,out of San Francisco,assertive
844,all the flights are afternoon,assertive
845,they don't offer any morning flights to Tokyo,assertive
846,and let me check Los Angeles,assertive
847,they're still going to get you in in the afternoon on Monday,assertive
848,if they leave,assertive
849,there's a flight,assertive
850,what airline is this,interrogative
851,Varig airlines at 9:50 a m,assertive
852,arrives 1:30 p m on Monday,assertive
853,9:50 9:50 a m arrives at what time,interrogative
854,1:30 p m on Monday,assertive
855,so i need to leave Saturday night or around midnight,assertive
856,if i leave much after two in the morning on Sunday,assertive
857,then i i i won't be able to make a Monday morning,assertive
858,th... th... that's a direct flight so you were looking,assertive
859,i guess you could either look under arrivals at Tokyo or departures on Saturday night Sunday morning,assertive
860,the one i gave you is Sunday morning,assertive
861,that's the third one,assertive
862,9:50,imperative
863,but that's too l...,assertive
864,that's the earliest  they have,assertive
865,they don't have anything else,assertive
866,they don't offer,assertive
867,as i said they don't offer night service from the west coast to Tokyo,assertive
868,they only of...,assertive
869,you'd have to fly all the way to the east coast,assertive
870,but you're defeating the whole purpose,assertive
